Station Name,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C)
UNIVERSITY OF CALGARY,1/1/1990,1990,1,1,5,-4.5
UNIVERSITY OF CALGARY,1/2/1990,1990,1,2,-2.5,-11.5
UNIVERSITY OF CALGARY,1/3/1990,1990,1,3,1.5,-12
UNIVERSITY OF CALGARY,1/4/1990,1990,1,4,2.5,-12.5
UNIVERSITY OF CALGARY,1/5/1990,1990,1,5,7,-12
UNIVERSITY OF CALGARY,1/6/1990,1990,1,6,5.5,-2.5
UNIVERSITY OF CALGARY,1/7/1990,1990,1,7,7,-5
UNIVERSITY OF CALGARY,1/8/1990,1990,1,8,7,-1
UNIVERSITY OF CALGARY,1/9/1990,1990,1,9,5.5,-3.5
UNIVERSITY OF CALGARY,1/10/1990,1990,1,10,-0.5,-5
UNIVERSITY OF CALGARY,1/11/1990,1990,1,11,-0.5,-14.5
UNIVERSITY OF CALGARY,1/12/1990,1990,1,12,5.5,-12
UNIVERSITY OF CALGARY,1/13/1990,1990,1,13,10,-1
UNIVERSITY OF CALGARY,1/14/1990,1990,1,14,4,-1.5
UNIVERSITY OF CALGARY,1/15/1990,1990,1,15,3,-6.5
UNIVERSITY OF CALGARY,1/16/1990,1990,1,16,-4,-7
UNIVERSITY OF CALGARY,1/17/1990,1990,1,17,-0.5,-13
UNIVERSITY OF CALGARY,1/18/1990,1990,1,18,6,-8.5
UNIVERSITY OF CALGARY,1/19/1990,1990,1,19,7,-10.5
UNIVERSITY OF CALGARY,1/20/1990,1990,1,20,5.5,-4.5
UNIVERSITY OF CALGARY,1/21/1990,1990,1,21,7.5,-1.5
UNIVERSITY OF CALGARY,1/22/1990,1990,1,22,7,-2
UNIVERSITY OF CALGARY,1/23/1990,1990,1,23,-1.5,-9
UNIVERSITY OF CALGARY,1/24/1990,1990,1,24,5,-11.5
UNIVERSITY OF CALGARY,1/25/1990,1990,1,25,6.5,-2.5
UNIVERSITY OF CALGARY,1/26/1990,1990,1,26,-6,-12
