Sample Site,Sample Date,Parameter,Numeric Result,Result Qualifier,Formatted Result,Result Units
Fish Creek 37th St,6/17/2014 10:02,Water Temperature (Field),12.6,,12.6,°C
Fish Creek 37th St,2/21/2006 0:00,Water Temperature (Field),0.2,,0.2,°C
Fish Creek 37th St,5/18/2004 0:00,Water Temperature (Field),9.8,,9.8,°C
Fish Creek 37th St,11/3/2003 0:00,Water Temperature (Field),-1,,-1,°C
Fish Creek 37th St,5/20/2015 11:15,Water Temperature (Field),10.9,,10.9,°C
Fish Creek 37th St,9/9/2002 0:00,Water Temperature (Field),9.6,,9.6,°C
Fish Creek 37th St,10/28/2014 10:15,Water Temperature (Field),0.7,,0.7,°C
Fish Creek 37th St,12/17/2007 12:00,Water Temperature (Field),0.6,,0.6,°C
Fish Creek 37th St,5/16/2006 0:00,Water Temperature (Field),11.9,,11.9,°C
Fish Creek 37th St,9/15/2015 10:44,Water Temperature (Field),10,,10,°C
Fish Creek 37th St,3/17/2015 10:52,Water Temperature (Field),-0.1,,-0.1,°C
Fish Creek 37th St,11/6/2000 0:00,Water Temperature (Field),0.3,,0.3,°C
Fish Creek 37th St,4/23/2014 10:11,Water Temperature (Field),5.4,,5.4,°C
Fish Creek 37th St,4/18/2006 0:00,Water Temperature (Field),2.7,,2.7,°C
Fish Creek 37th St,12/16/2014 11:30,Water Temperature (Field),0.4,,0.4,°C
Fish Creek 37th St,7/11/2006 0:00,Water Temperature (Field),16.7,,16.7,°C
Fish Creek 37th St,4/5/2016 11:08,Water Temperature (Field),4.6,,4.6,°C
Fish Creek 37th St,12/5/2017 10:32,Water Temperature (Field),0.1,,0.1,°C
Fish Creek 37th St,9/1/2009 10:15,Water Temperature (Field),16.1,,16.1,°C
Fish Creek 37th St,12/18/2012 10:56,Water Temperature (Field),0.3,,0.3,°C
Fish Creek 37th St,3/20/2007 12:00,Water Temperature (Field),-0.3,,-0.3,°C
Fish Creek 37th St,7/4/2017 9:56,Water Temperature (Field),19.1,,19.1,°C
Fish Creek 37th St,11/13/2014 10:21,Water Temperature (Field),0.8,,0.8,°C
Fish Creek 37th St,6/8/2010 11:20,Water Temperature (Field),12.3,,12.3,°C
Fish Creek 37th St,12/29/2003 0:00,Water Temperature (Field),-1.7,,-1.7,°C
Fish Creek 37th St,10/5/2020 9:50,Water Temperature (Field),8.5,,8.5,°C
Fish Creek 37th St,11/2/2020 9:44,Water Temperature (Field),1.4,,1.4,°C
Fish Creek 37th St,1/27/2003 0:00,Water Temperature (Field),2.4,,2.4,°C
Fish Creek 37th St,8/10/2004 0:00,Water Temperature (Field),12.8,,12.8,°C
Fish Creek 37th St,6/9/2009 11:11,Water Temperature (Field),10.9,,10.9,°C
Fish Creek 37th St,8/31/2010 10:30,Water Temperature (Field),10.1,,10.1,°C
Fish Creek 37th St,10/30/2007 12:00,Water Temperature (Field),0.6,,0.6,°C
Fish Creek 37th St,5/17/2005 0:00,Water Temperature (Field),13,,13,°C
Fish Creek 37th St,7/14/2003 0:00,Water Temperature (Field),16.1,,16.1,°C
Fish Creek 37th St,10/3/2006 0:00,Water Temperature (Field),5.4,,5.4,°C
Fish Creek 37th St,5/15/2012 9:55,Water Temperature (Field),11.2,,11.2,°C
Fish Creek 37th St,8/14/2000 0:00,Water Temperature (Field),15.7,,15.7,°C
Fish Creek 37th St,9/28/2010 13:39,Water Temperature (Field),12.1,,12.1,°C
Fish Creek 37th St,9/25/2014 10:34,Water Temperature (Field),12.3,,12.3,°C
Fish Creek 37th St,6/17/2002 0:00,Water Temperature (Field),15,,15,°C
Fish Creek 37th St,4/4/2017 10:29,Water Temperature (Field),0,,0,°C
Fish Creek 37th St,6/19/2000 0:00,Water Temperature (Field),13.3,,13.3,°C
Fish Creek 37th St,8/20/2012 10:11,Water Temperature (Field),17.8,,17.8,°C
Fish Creek 37th St,9/7/2004 0:00,Water Temperature (Field),10.6,,10.6,°C
Fish Creek 37th St,10/11/2000 0:00,Water Temperature (Field),5,,5,°C
Fish Creek 37th St,6/16/2003 0:00,Water Temperature (Field),13.2,,13.2,°C
Fish Creek 37th St,4/21/2003 0:00,Water Temperature (Field),4.3,,4.3,°C
Fish Creek 37th St,3/8/2016 10:37,Water Temperature (Field),0.3,,0.3,°C
Fish Creek 37th St,3/24/2003 0:00,Water Temperature (Field),-1.2,,-1.2,°C
Fish Creek 37th St,7/17/2002 0:00,Water Temperature (Field),20.1,,20.1,°C
Fish Creek 37th St,9/8/2003 0:00,Water Temperature (Field),13,,13,°C
Fish Creek 37th St,9/24/2013 9:35,Water Temperature (Field),9.1,,9.1,°C
Fish Creek 37th St,8/18/2015 10:44,Water Temperature (Field),15.6,,15.6,°C
Fish Creek 37th St,1/20/2009 10:40,Water Temperature (Field),0.4,,0.4,°C
Fish Creek 37th St,1/26/2011 10:49,Water Temperature (Field),0.3,,0.3,°C
